installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst,final_electricity_consumption,RE,GDP,net_exports,Coal_EUR_MWh,Gas_EUR_MWh,EUA_price,ln_final_electricity_consumption,ln_RE,ln_GDP,net_ac_ext_inst,net_ac_tot_inst,annual_change_bank_inst,bank_inst,annual_change_bank_inst_1000,net_ac_ext_inst_1000
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2013,121686,146969,35.11,11.8979769591679,292,177,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1,63546.708,54171.606,306695.6,-7.270453999999998,9.4058161,27.330641,4.4753876,11.059530473544923,10.899912175618782,12.633611003732724,0,171182,254796,358612,254.796,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2014,108897,77873,35.11,11.262834573576976,292,177,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1,62557.42,53803.531,308723.7,-9.274725000000002,8.6029577,21.172882,5.9741473,11.043840133959577,10.893094375966452,12.64020198110988,0,0,18599,377211,18.599,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2015,96472,111369,35.11,11.620604291268087,292,177,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1,63482.625,50803.337,311855.7,-10.061516,7.7217555,20.061985,7.6906977,11.058521525392196,10.835717320385525,12.650295859805507,0,0,-26930,350281,-26.93,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2016,84439,183596,35.11,12.120492970438823,292,177,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1,64427.642,53959.019,318350.4,-7.159271,8.1366539,14.393778,5.3516278,11.07329804360483,10.895980130023,12.670907941923101,0,0,-110812,239469,-110.812,0
43,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Mitte Linz Linie 1a,2017,72784,247104,35.11,12.417564579623908,292,177,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1,65286.469,54735.94,326234.2,-6.545915000000001,11.171968,17.538269,5.8331394,11.086540080929264,10.910275811046075,12.695370807327539,0,0,-185597,53872,-185.597,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2009,306698,214884,35.11,12.27785362662476,317,177,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,0,41392,133206,426318,133.206,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2010,306698,187471,35.11,12.141379445763814,317,177,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62071.793,48174.578,295896.6,-2.4366229999999995,10.548177,16.942703,14.380888,11.036046945731261,10.78258673351405,12.597765347953919,0,0,119227,545545,119.227,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2011,306698,153335,35.11,11.940380349303313,317,177,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1,62132.291,44409.141,304545.1,-8.19936,13.23881,22.179193,13.058799,11.037021116673731,10.70120060560865,12.626574466823097,0,0,153363,698908,153.363,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2012,306698,141207,35.11,11.857982177883297,317,177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1,62952.105,55103.88,306617.4,-2.8029660000000005,11.098114,25.154446,7.3978295,11.050129478150904,10.916975410084683,12.633355995277258,-70000,41957,-99250,599658,-99.25,-70
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2013,71294,128258,35.11,11.76179913925522,317,177,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1,63546.708,54171.606,306695.6,-7.270453999999998,9.4058161,27.330641,4.4753876,11.059530473544923,10.899912175618782,12.633611003732724,0,15335,22172,621830,22.172,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2014,63801,111486,35.11,11.62165430146081,317,177,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1,62557.42,53803.531,308723.7,-9.274725000000002,8.6029577,21.172882,5.9741473,11.043840133959577,10.893094375966452,12.64020198110988,0,-70000,-124965,496865,-124.965,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2015,56521,120859,35.11,11.702379855845244,317,177,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1,63482.625,50803.337,311855.7,-10.061516,7.7217555,20.061985,7.6906977,11.058521525392196,10.835717320385525,12.650295859805507,0,0,-71388,425477,-71.388,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2016,49471,141085,35.11,11.85711782460658,317,177,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1,64427.642,53959.019,318350.4,-7.159271,8.1366539,14.393778,5.3516278,11.07329804360483,10.895980130023,12.670907941923101,0,-5000,-103442,322035,-103.442,0
46,LINZ STROM GAS WÄRME GmbH,AT,LS FHKW Süd Linz,2017,42643,123061,35.11,11.720435446378806,317,177,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1,65286.469,54735.94,326234.2,-6.545915000000001,11.171968,17.538269,5.8331394,11.086540080929264,10.910275811046075,12.695370807327539,0,0,-87025,235010,-87.025,0
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2009,933401,655173,35.11,13.392654601880682,551,80,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0,59201.268,49949.919,290558.8,-0.7801859999999978,7.5909157,11.825696,13.213984,10.988698239561634,10.818776162453764,12.57956124443059,3563,3563,281791,1529776,281.791,3.563
85,WIEN ENERGIE GmbH,AT,Wienstrom KW Donaustadt Wien,2010,933401,717475,35.11,13.4834933828033,551,80,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,1,0,1,0,0,62071.793,48174.578,295896.6,-2.4366229999999995,10.548177,16.942703,14.380888,11.036046945731261,10.78258673351405,12.597765347953919,21860,21860,237786,1767562,237.786,21.86
