installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2014,0,221,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2015,0,7,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2016,0,5,35.30
45,LINZ STROM GAS WÄRME GmbH,AT,FHKW Dornach Linz AG Linz,2017,0,7,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2009,14597,26593,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2010,14597,32651,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2011,14597,24711,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2012,14597,67700,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2013,20746,80408,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2014,18566,39484,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2015,16445,21745,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2016,14388,3438,35.30
122,WIEN ENERGIE GmbH,AT,FHKW Spittelau Fernwärne Wien,2017,3099,4045,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2009,181423,172716,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2010,181423,188359,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2011,181423,173642,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2012,181423,138093,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2013,81174,137326,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2014,72642,110340,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2015,64353,126649,35.30
32,"Salzburg AG für Energie, Verkehr und Telekommunikation",AT,Salzburg AG FHKW Mitte Salzburg,2016,56327,170029,35.30
