installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2,ln_emissions,inst_num,firm_num,treated,post_2009,post_2010,post_2011,post_2012,post_2013,post_2014,post_2015,post_2016,post_2017,post,post_treated,post_2009_treated,post_2010_treated,post_2011_treated,post_2012_treated,post_2013_treated,post_2014_treated,post_2015_treated,post_2016_treated,post_2017_treated,fuel_type,gas,coal,one_inst_firm,coal_one_inst_firm,gas_one_inst_firm,coal_multi_inst,gas_multi_inst
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2016,88375,772576,35.11,13.55748566479188,624,368,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,coal,0,1,1,1,0,0,0
99,VERBUND Thermal Power GmbH & CO KG,AT,Verbund FHKW Mellach,2017,76177,809346,35.11,13.603981793112295,624,368,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,coal,0,1,1,1,0,0,0
128,EVN Wärme GmbH,AT,EVN FHW Baden,2009,16567,2610,35.30,7.867105500316739,769,448,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2010,16567,3014,35.30,8.01102337918644,769,448,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2011,16567,2451,35.30,7.804251383528112,769,448,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2012,16567,3965,35.30,8.285261134068948,769,448,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2013,3396,2441,35.30,7.80016307039296,769,448,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2014,3039,1663,35.30,7.416378479192928,769,448,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2015,1346,1924,35.30,7.562161631225652,769,448,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2016,1178,3987,35.30,8.290794347381356,769,448,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
128,EVN Wärme GmbH,AT,EVN FHW Baden,2017,1014,4114,35.30,8.322151070212902,769,448,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2009,20316,5882,35.30,8.67965211911394,786,448,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2010,20316,5867,35.30,8.67709870892586,786,448,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2011,20316,5787,35.30,8.663369301573839,786,448,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2012,20316,6724,35.30,8.813438494528507,786,448,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2013,20002,6690,35.30,8.808369153122275,786,448,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2014,17899,5530,35.30,8.61794309451638,786,448,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2015,15857,5679,35.30,8.644530439877432,786,448,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2016,13880,6311,35.30,8.75004942158424,786,448,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,gas,1,0,0,0,0,0,1
132,EVN Wärme GmbH,AT,EVN FHKW Mödling,2017,11964,8003,35.30,8.987571750367046,786,448,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,gas,1,0,0,0,0,0,1
