year,registry_code,accountholder_id_trans_data,installation_id_trans_data,net_ac_tot_inst,net_ac_ext_inst,annual_change_bank_inst,bank_inst,installationidentifier
2015,AT,74,AT_27,8527,8527,1139,14212,27
2016,AT,74,AT_27,7138,7138,-834,13378,27
2017,AT,74,AT_27,2622,2622,68,13446,27
2009,AT,74,AT_28,5000,5000,-1503,24932,28
2010,AT,74,AT_28,6250,6250,4159,29091,28
2011,AT,74,AT_28,-67,0,724,29815,28
2012,AT,74,AT_28,228,0,-29815,0,28
2013,AT,74,AT_28,0,0,35792,35792,28
2014,AT,74,AT_28,0,0,568,36360,28
2015,AT,74,AT_28,-1160,-1160,-1687,34673,28
2016,AT,74,AT_28,427,427,-2252,32421,28
2017,AT,74,AT_28,4079,4079,764,33185,28
2012,AT,81,AT_18,2163,0,-19001,12,18
2013,AT,81,AT_18,60000,0,379,391,18
2014,AT,81,AT_18,46349,0,2548,2939,18
2015,AT,81,AT_18,35351,0,6002,8941,18
2016,AT,81,AT_18,12000,0,-8821,120,18
2017,AT,81,AT_18,47000,0,187,307,18
2012,AT,81,AT_19,-7225,0,-8651,36,19
2013,AT,81,AT_19,1000,0,3544,3580,19
2014,AT,81,AT_19,1274,0,4182,7762,19
2015,AT,81,AT_19,0,0,-2939,4823,19
2016,AT,81,AT_19,0,0,-1,4822,19
2017,AT,81,AT_19,0,0,-1,4821,19
2012,AT,81,AT_20,1922,0,-3552,9,20
2013,AT,81,AT_20,42000,0,289,298,20
2014,AT,81,AT_20,41174,0,3613,3911,20
2015,AT,81,AT_20,35000,0,6449,10360,20
2016,AT,81,AT_20,13000,0,-9895,465,20
2017,AT,81,AT_20,39000,0,272,737,20
2012,AT,81,AT_21,-4681,0,-9203,8,21
2013,AT,81,AT_21,13000,0,6538,6546,21
2014,AT,81,AT_21,8753,0,-6195,351,21
2015,AT,81,AT_21,5447,0,-351,0,21
2009,AT,81,AT_84,0,0,121548,613210,84
2010,AT,81,AT_84,0,0,269639,882849,84
2011,AT,81,AT_84,0,0,227090,1109939,84
2012,AT,81,AT_84,0,0,-283798,826141,84
2013,AT,81,AT_84,0,0,-38574,787567,84
2014,AT,81,AT_84,-11037,-7000,-102167,685400,84
2015,AT,81,AT_84,-35000,0,-309883,375517,84
2016,AT,81,AT_84,87000,0,-374827,690,84
2017,AT,81,AT_84,531000,0,-241,449,84
2009,AT,81,AT_85,3563,3563,281791,1529776,85
2010,AT,81,AT_85,21860,21860,237786,1767562,85
2011,AT,81,AT_85,5592,5592,368551,2136113,85
2012,AT,81,AT_85,-435851,-545819,-951813,1184300,85
2013,AT,81,AT_85,-69000,64000,-106523,1077777,85
2014,AT,81,AT_85,-531315,-513000,-774439,303338,85
2015,AT,81,AT_85,192202,1353000,-128267,175071,85
2016,AT,81,AT_85,387000,325000,-45060,130011,85
2017,AT,81,AT_85,287000,1408000,-36152,93859,85
2009,AT,81,AT_86,0,0,185739,538897,86
2010,AT,81,AT_86,0,0,98456,637353,86
2011,AT,81,AT_86,0,0,195641,832994,86
2012,AT,81,AT_86,95890,0,0,832994,86
2013,AT,81,AT_86,0,0,32293,865287,86
2014,AT,81,AT_86,71707,0,113731,979018,86
2015,AT,81,AT_86,-40000,-5000,-90002,889016,86
2016,AT,81,AT_86,-775100,-1100,-778236,110780,86
2017,AT,81,AT_86,-87000,-1000,-90825,19955,86
2012,AT,81,AT_122,72236,0,4536,24239,122
2013,AT,81,AT_122,16990,-10,-24106,133,122
2014,AT,81,AT_122,40733,0,17694,17827,122
2015,AT,81,AT_122,0,0,-7357,10470,122
2016,AT,81,AT_122,0,0,8956,19426,122
2017,AT,81,AT_122,0,0,-10723,8703,122
2009,AT,81,AT_216,-50000,-50000,-50000,151152,216
2012,AT,81,AT_216,-151152,0,-151152,0,216
2009,AT,81,AT_219,0,0,211069,1590597,219
2010,AT,81,AT_219,0,0,-88855,1501742,219
2011,AT,81,AT_219,0,0,201089,1702831,219
2012,AT,81,AT_219,511469,630590,-410113,1292718,219
2013,AT,81,AT_219,-5678,-5678,-175555,1117163,219
2014,AT,81,AT_219,-649345,-461707,-1109858,7305,219
2015,AT,81,AT_219,646693,-508307,-6296,1009,219
2016,AT,81,AT_219,768620,168620,155717,156726,219
2017,AT,81,AT_219,886805,296805,67789,224515,219
2009,AT,85,AT_90,0,0,1282,4804,90
2010,AT,85,AT_90,0,0,527,5331,90
2011,AT,85,AT_90,0,0,1364,6695,90
2012,AT,85,AT_90,0,0,-394,6301,90
2013,AT,85,AT_90,0,0,24852,31153,90
2014,AT,85,AT_90,0,0,10465,41618,90
2015,AT,85,AT_90,0,0,9027,50645,90
2016,AT,85,AT_90,-1000,-1000,6832,57477,90
2017,AT,85,AT_90,0,0,6354,63831,90
2009,AT,88,AT_154,0,0,-835,14093,154
2010,AT,88,AT_154,0,0,-1606,12487,154
2011,AT,88,AT_154,9000,9000,8975,21462,154
2012,AT,88,AT_154,0,0,-15738,5724,154
2013,AT,88,AT_154,15000,15000,23390,29114,154
2014,AT,88,AT_154,8435,8435,5388,34502,154
2015,AT,88,AT_154,0,0,-5552,28950,154
2016,AT,88,AT_154,0,0,-6152,22798,154
2017,AT,88,AT_154,0,0,-5915,16883,154
2009,AT,89,AT_134,0,0,56083,505604,134
2010,AT,89,AT_134,0,0,103316,608920,134
2011,AT,89,AT_134,62103,0,449521,1058441,134
2009,AT,89,AT_135,0,0,149456,1050592,135
2010,AT,89,AT_135,95249,95249,108380,1158972,135
2011,AT,89,AT_135,216869,293531,-159497,999475,135
2009,AT,89,AT_136,0,0,15176,117443,136
2010,AT,89,AT_136,0,0,8922,126365,136
2011,AT,89,AT_136,14559,0,102267,228632,136
2009,AT,90,AT_94,20246,20364,260433,1486628,94
2010,AT,90,AT_94,728618,728618,275309,1761937,94
2011,AT,90,AT_94,298355,298355,-173316,1588621,94
2012,AT,90,AT_94,-244674,255452,-1440040,148581,94
2013,AT,90,AT_94,1060835,922069,-148580,1,94
2014,AT,90,AT_94,799590,959000,0,1,94
2015,AT,90,AT_94,565111,1629000,1,2,94
2016,AT,90,AT_94,7,0,-1,1,94
2009,AT,90,AT_98,118,0,0,0,98
2010,AT,90,AT_98,83,0,0,0,98
2011,AT,90,AT_98,38,0,1,1,98
2012,AT,90,AT_98,25,0,-1,0,98
2009,AT,90,AT_99,10000,10000,-294857,254697,99
2010,AT,90,AT_99,450000,150000,69029,323726,99
2011,AT,90,AT_99,153930,53930,-255960,67766,99
2012,AT,90,AT_99,1032083,146833,-67664,102,99
2013,AT,90,AT_99,652694,36605,-101,1,99
2014,AT,90,AT_99,853467,2000,101549,101550,99
2015,AT,90,AT_99,783940,0,2831,104381,99
2016,AT,90,AT_99,668952,906000,-27447,76934,99
2017,AT,90,AT_99,755898,1300000,10927,87861,99
2009,AT,90,AT_101,0,0,95034,408271,101
2010,AT,90,AT_101,-300083,0,-201955,206316,101
2011,AT,90,AT_101,-296845,0,-143302,63014,101
2012,AT,90,AT_101,18883,400000,12089,75103,101
2013,AT,90,AT_101,19371,-17421,-15413,59690,101
2014,AT,90,AT_101,-43059,78102,-59689,1,101
2015,AT,90,AT_101,2605,0,0,1,101
2016,AT,90,AT_101,433,0,0,1,101
2017,AT,90,AT_101,392,0,0,1,101
2011,AT,90,AT_235,196807,0,1926746,1926746,235
2012,AT,90,AT_235,-4032,0,-393874,1532872,235
2013,AT,90,AT_235,-772480,19167,-921682,611190,235
2014,AT,90,AT_235,-570896,0,-611189,1,235
2015,AT,90,AT_235,277344,0,0,1,235
2016,AT,90,AT_235,236608,0,0,1,235
2017,AT,90,AT_235,543710,0,0,1,235
2009,AT,99,AT_91,0,0,75053,307126,91
2010,AT,99,AT_91,-150000,-150000,-61586,245540,91
2011,AT,99,AT_91,5806,5806,98126,343666,91
2012,AT,99,AT_91,-10471,-10471,-232624,111042,91
2013,AT,99,AT_91,1324,1324,392457,503499,91
2014,AT,99,AT_91,-200000,-200000,-120062,383437,91
2015,AT,99,AT_91,0,0,72081,455518,91
2016,AT,99,AT_91,-3245,-3245,50018,505536,91
2017,AT,99,AT_91,0,0,77322,582858,91
2009,AT,107,AT_14,0,0,359197,430505,14
2010,AT,107,AT_14,0,0,69019,499524,14
2011,AT,107,AT_14,-300000,0,-220199,279325,14
2012,AT,107,AT_14,682255,0,-279325,0,14
2009,AT,107,AT_15,533026,0,0,0,15
2010,AT,107,AT_15,1441737,0,0,0,15
2011,AT,107,AT_15,1500000,0,45254,45254,15
2012,AT,107,AT_15,3137027,0,-45254,0,15
2009,AT,107,AT_16,-540242,140000,886695,7935212,16
2010,AT,107,AT_16,-1633297,0,-718417,7216795,16
2011,AT,107,AT_16,-1164064,338219,23842,7240637,16
2012,AT,107,AT_16,-367461,4718070,-3545590,3695047,16
2013,AT,107,AT_16,522002,531254,5472313,9167360,16
2014,AT,107,AT_16,1465218,1366454,-621701,8545659,16
2015,AT,107,AT_16,1066001,1066001,-1162102,7383557,16
2016,AT,107,AT_16,1761999,1761999,-550553,6833004,16
2017,AT,107,AT_16,2714658,2714658,-278434,6554570,16
2009,AT,107,AT_17,0,0,66432,385399,17
2010,AT,107,AT_17,0,0,-13895,371504,17
2011,AT,107,AT_17,2283,0,-7794,363710,17
2012,AT,107,AT_17,242639,101193,-60696,303014,17
2013,AT,107,AT_17,9252,0,241356,544370,17
2014,AT,107,AT_17,7041,105805,123880,668250,17
2015,AT,107,AT_17,0,0,-15686,652564,17
2016,AT,107,AT_17,0,0,-17794,634770,17
2017,AT,107,AT_17,0,0,-8748,626022,17
2009,AT,107,AT_208,0,0,0,0,208
2010,AT,107,AT_208,0,0,0,0,208
2011,AT,107,AT_208,0,0,0,0,208
2012,AT,107,AT_208,556899,0,0,0,208
2009,AT,107,AT_231,147216,0,0,0,231
2010,AT,107,AT_231,191560,0,0,0,231
2011,AT,107,AT_231,300000,0,1169,1169,231
2012,AT,107,AT_231,567904,0,-1169,0,231
2009,AT,108,AT_12,0,0,-181871,359215,12
2010,AT,108,AT_12,200000,0,-230227,128988,12
2011,AT,108,AT_12,410000,0,-127828,1160,12
2012,AT,108,AT_12,1445634,0,408932,410092,12
2013,AT,108,AT_12,-410092,0,-410092,0,12
2009,AT,108,AT_13,-40000,-40000,333755,1044325,13
2010,AT,108,AT_13,0,0,337639,1381964,13
2011,AT,108,AT_13,-132247,137753,-6783,1375181,13
2012,AT,108,AT_13,718102,2214472,-799130,576051,13
2013,AT,108,AT_13,662665,198624,1549197,2125248,13
2014,AT,108,AT_13,624137,624137,-332560,1792688,13
2015,AT,108,AT_13,932999,932999,-230775,1561913,13
2016,AT,108,AT_13,828001,828001,-161261,1400652,13
2017,AT,108,AT_13,1357342,1357342,30604,1431256,13
2009,AT,108,AT_209,0,0,69902,210735,209
2010,AT,108,AT_209,-200000,0,-131840,78895,209
2011,AT,108,AT_209,-140000,0,-71983,6912,209
2012,AT,108,AT_209,39383,0,31994,38906,209
2013,AT,108,AT_209,-38906,0,-38906,0,209
2009,AT,108,AT_210,0,0,4007,26750,210
2010,AT,108,AT_210,0,0,-157,26593,210
2011,AT,108,AT_210,0,0,-501,26092,210
2012,AT,108,AT_210,11353,0,-11049,15043,210
2013,AT,108,AT_210,-15043,0,-15043,0,210
2009,AT,109,AT_26,2543701,2550889,2467203,2708494,26
2010,AT,109,AT_26,-229279,4736,-228307,2480187,26
2011,AT,109,AT_26,67393,67393,24857,2505044,26
2012,AT,109,AT_26,141028,154180,-2447844,57200,26
2013,AT,109,AT_26,1190902,1190902,1926595,1983795,26
2014,AT,109,AT_26,738505,738505,-258799,1724996,26
2015,AT,109,AT_26,1083250,1083250,-45659,1679337,26
2016,AT,109,AT_26,922600,922600,-226659,1452678,26
2017,AT,109,AT_26,1177600,1177600,34269,1486947,26
2009,AT,109,AT_205,183,0,0,0,205
2010,AT,109,AT_205,5947,0,5949,5949,205
2011,AT,109,AT_205,0,0,-93,5856,205
2012,AT,109,AT_205,334,0,-5856,0,205
2009,AT,109,AT_206,6614,0,0,0,206
2010,AT,109,AT_206,215329,0,215413,215413,206
2011,AT,109,AT_206,0,0,-3362,212051,206
2012,AT,109,AT_206,12102,0,-212051,0,206
2009,AT,109,AT_207,391,0,0,0,207
2010,AT,109,AT_207,12739,0,12744,12744,207
2011,AT,109,AT_207,0,0,-199,12545,207
2012,AT,109,AT_207,716,0,-12545,0,207
2009,AT,110,AT_58,-5300,-5300,7382,21698,58
2010,AT,110,AT_58,-7000,-7000,4684,26382,58
2011,AT,110,AT_58,0,0,12930,39312,58
2012,AT,110,AT_58,-26000,0,-33698,5614,58
2013,AT,110,AT_58,0,0,363,5977,58
2014,AT,110,AT_58,0,0,2214,8191,58
2015,AT,110,AT_58,0,0,-4705,3486,58
2016,AT,110,AT_58,830,0,-3486,0,58
2017,AT,110,AT_58,6155,0,0,0,58
2009,AT,110,AT_60,-1000,-1000,2486,23735,60
2010,AT,110,AT_60,0,0,-20540,3195,60
2011,AT,110,AT_60,0,0,3065,6260,60
2012,AT,110,AT_60,26000,0,-5596,664,60
2013,AT,110,AT_60,0,0,14539,15203,60
2014,AT,110,AT_60,0,0,-10468,4735,60
2015,AT,110,AT_60,13333,0,-4735,0,60
2016,AT,110,AT_60,40945,0,0,0,60
2017,AT,110,AT_60,35523,24000,3115,3115,60
2009,AT,110,AT_108,-43000,-43000,-10554,67002,108
2010,AT,110,AT_108,0,0,21854,88856,108
2011,AT,110,AT_108,-8000,-8000,20055,108911,108
2012,AT,110,AT_108,0,0,-47954,60957,108
2013,AT,110,AT_108,0,0,-7126,53831,108
2014,AT,110,AT_108,32384,32384,17026,70857,108
2015,AT,110,AT_108,1620,14953,-12779,58078,108
2016,AT,110,AT_108,-26803,14972,-40878,17200,108
2017,AT,110,AT_108,-518,17160,-17200,0,108
2009,AT,111,AT_142,0,0,33458,238973,142
2010,AT,111,AT_142,0,0,15899,254872,142
2011,AT,111,AT_142,0,0,14812,269684,142
2012,AT,111,AT_142,0,0,-183857,85827,142
2013,AT,111,AT_142,21463,10542,147044,232871,142
2014,AT,111,AT_142,0,0,-52896,179975,142
2015,AT,111,AT_142,70000,70000,-1648,178327,142
2016,AT,111,AT_142,90000,90000,22084,200411,142
2017,AT,111,AT_142,30000,30000,-37931,162480,142
2009,AT,111,AT_232,0,0,8465,34314,232
2010,AT,111,AT_232,0,0,1472,35786,232
2011,AT,111,AT_232,0,0,402,36188,232
2012,AT,111,AT_232,0,0,-25267,10921,232
2013,AT,111,AT_232,-10921,0,-10921,0,232
2009,AT,112,AT_110,0,0,69246,450683,110
2010,AT,112,AT_110,0,0,65586,516269,110
2011,AT,112,AT_110,-52698,0,35374,551643,110
2012,AT,112,AT_110,-25401,0,-322092,229551,110
2013,AT,112,AT_110,-2,-2,219472,449023,110
2014,AT,112,AT_110,24444,24444,-23090,425933,110
2015,AT,112,AT_110,0,0,-133447,292486,110
2016,AT,112,AT_110,66096,66096,-28059,264427,110
2017,AT,112,AT_110,127920,127920,-5399,259028,110
2009,AT,112,AT_223,0,0,5397,11107,223
2010,AT,112,AT_223,0,0,5397,16504,223
2011,AT,112,AT_223,52698,0,58095,74599,223
2012,AT,112,AT_223,25401,0,-74599,0,223
2009,AT,113,AT_172,940,28000,61630,91229,172
2010,AT,113,AT_172,-39852,0,222,91451,172
2011,AT,113,AT_172,-15267,0,20539,111990,172
2012,AT,113,AT_172,-40534,0,-54803,57187,172
2013,AT,113,AT_172,0,0,12827,70014,172
2014,AT,113,AT_172,4492,4492,-4322,65692,172
2015,AT,113,AT_172,0,0,35085,100777,172
2016,AT,113,AT_172,0,0,16073,116850,172
2017,AT,113,AT_172,0,0,-8069,108781,172
2009,AT,113,AT_225,27060,0,0,0,225
2010,AT,113,AT_225,39852,0,12518,12518,225
2011,AT,113,AT_225,15267,0,-12518,0,225
2012,AT,113,AT_225,40534,0,0,0,225
2009,AT,114,AT_64,-15901,-29823,3393,49586,64
2010,AT,114,AT_64,-23931,-23931,-8314,41272,64
2011,AT,114,AT_64,1418,1418,17387,58659,64
2012,AT,114,AT_64,2026,2026,-13379,45280,64
2013,AT,114,AT_64,7070,0,33995,79275,64
2014,AT,114,AT_64,-32286,-32286,-22754,56521,64
2015,AT,114,AT_64,-40942,-40942,-43040,13481,64
2016,AT,114,AT_64,0,0,7207,20688,64
2017,AT,114,AT_64,-19000,-19000,-12527,8161,64
2009,AT,114,AT_228,-13922,0,3975,3975,228
2010,AT,114,AT_228,0,0,3178,7153,228
2011,AT,114,AT_228,0,0,3253,10406,228
2012,AT,114,AT_228,0,0,-3336,7070,228
2013,AT,114,AT_228,-7070,0,-7070,0,228
2009,AT,119,AT_55,0,0,8008,210829,55
2010,AT,119,AT_55,12948,30000,54075,264904,55
2011,AT,119,AT_55,146749,4529,140879,405783,55
2012,AT,119,AT_55,-22022,-40539,-330485,75298,55
2013,AT,119,AT_55,-12293,-119981,614613,689911,55
2014,AT,119,AT_55,-233636,-317000,-128620,561291,55
2015,AT,119,AT_55,-162373,-163000,-44126,517165,55
2016,AT,119,AT_55,-61000,-61000,42869,560034,55
2017,AT,119,AT_55,-48782,-50000,15918,575952,55
2009,AT,119,AT_56,-20000,-20000,108078,274833,56
2010,AT,119,AT_56,-232948,-250000,-72189,202644,56
2011,AT,119,AT_56,-224000,-224000,-63309,139335,56
2012,AT,119,AT_56,-130000,-130000,-130000,9335,56
2013,AT,119,AT_56,-9335,2625,70632,79967,56
2014,AT,119,AT_56,-1951,81413,-79967,0,56
2015,AT,119,AT_56,-627,0,0,0,56
2016,AT,119,AT_56,0,0,615,615,56
2017,AT,119,AT_56,-1218,0,-615,0,56
2009,AT,119,AT_221,0,0,22480,179952,221
2010,AT,119,AT_221,0,0,22480,202432,221
2011,AT,119,AT_221,14529,156749,37009,239441,221
2012,AT,119,AT_221,-35038,-16521,-125038,114403,221
2013,AT,119,AT_221,-114403,-18675,-114403,0,221
2009,AT,120,AT_23,12500,0,68506,228653,23
2010,AT,120,AT_23,13183,0,58146,286799,23
2011,AT,120,AT_23,12183,0,37692,324491,23
2012,AT,120,AT_23,15030,0,-107661,216830,23
2013,AT,120,AT_23,6890,0,164764,381594,23
