registry_code,year,exports,imports,RE,final_electricity_consumption,GDP
NO,2017,21276,6111,146086,121958,364797.1
PL,2009,9594,7403,9277.98,122303,349208.2
PL,2010,7664,6310,11456.968,129424,361803.9
PL,2011,12022,6780,13567.236,132388,379956.4
PL,2012,12643,9803,17307.255,133278,386065.8
PL,2013,12322,7801,17624.294,134481,391439.4
PL,2014,11342,13508,20393.109,136307.473,404429.1
PL,2015,14793,14459,23287.061,138926.62,419954.9
PL,2016,12018,14017,23289.604,143762.5,432816.5
PL,2017,10984,13271,24596.451,146424.864,454186.3
PT,2009,2822,7598,19015.958,48773,176577.2
PT,2010,3191,5814,28750.583,50613,179929.8
PT,2011,3929,6742,24689.717,49114,176642.8
PT,2012,2871,10766,20410.26,47110,169527.1
PT,2013,5324,8100,30609.835,46273,167611.2
PT,2014,6344,7247,32403.914,46139,169108.3
PT,2015,5811,8077,25510.816,46849,172189.6
PT,2016,9701,4616,33496.09,47359.322,175505.5
PT,2017,8189.704,5505.732,24307.885,47660.588,180410.9
RO,2009,2946,651,15826.149,42665,130499.9
RO,2010,3041,767,20659.856,45972,125408.8
RO,2011,5316,3410,16530.975,47250,127926
RO,2012,3650,3903,15196.856,46861,130583.2
RO,2013,4753,2737,20498.837,44952,135172.6
RO,2014,9937,2811,27600.32,45808,139783.1
RO,2015,11220,4492,26574.629,46798,145194.8
RO,2016,9194,4177,27476.745,47142,152165.3
RO,2017,7735.38,4841.754,24640.789,48860.709,162803.8
SE,2009,9080,13765,79935.094,126324,352512.4
SE,2010,12853,14931,82187.621,135021,374329.5
SE,2011,19714,12481,84210.489,127628,385755.3
SE,2012,31255,11682,98435,130323,383321.3
SE,2013,22676,12674,82822.863,127882,387491.1
SE,2014,29475,13852,85849.42600000001,125041,398136.6
SE,2015,31894,9294,102623.747,127801,415737.5
SE,2016,26022,14287,89245.63800000001,130614,425769.4
SE,2017,30888,11896,95083,130459,436038.3
SI,2009,10839,7780,4906.835,11423,35881.7
SI,2010,10745,8625,4932.693,12063,36363.9
SI,2011,8408,7036,4023.428,12612,36677.1
SI,2012,8491,7452,4516.962,12540,35709.1
SI,2013,8811,7521,5403.461,12587,35341.5
SI,2014,9997,7254,6885.474,12559,36319.8
SI,2015,9093,9045,4638.111,12895,37122.5
SI,2016,9535,8359,5337.291,13120,38281.4
SI,2017,9648.191999999999,9132.531999999999,4720.422,13622.626,40131.6
SK,2009,7682,8994,5146.561,24302,64333.8
SK,2010,6293,7334,6333.942,25077,67577.3
SK,2011,10500,11227,5367.187,25793,69482.39999999999
SK,2012,13079,13472,5810,24880,70633.8
SK,2013,10628,10719,6671,26039,71686.7
SK,2014,11862,12964,6482,25083,73658.3
SK,2015,12611,14999,6311,25359,76733.5
SK,2016,10598,13249,6876,25966,79131.7
SK,2017,12535,15563,6831,27016,81654.7
